"A�o","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","Divisi�n","Grupo","Clase","Subclase","Clave gen�rico","Gen�rico","Consecutivo","Especificaci�n","Precio promedio","Cantidad","Unidad","Estatus"
"2024","02","","01","�rea Met. de la Cd. de M�xico","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","119.73","1","INDICE",""
"2024","02","","02","M�rida, Yuc.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","113.1","1","INDICE",""
"2024","02","","03","Morelia, Mich.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","104.09","1","INDICE",""
"2024","02","","04","Guadalajara, Jal.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","114.85","1","INDICE",""
"2024","02","","05","Monterrey, N.L.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","110.72","1","INDICE",""
"2024","02","","06","Mexicali, B.C.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","120.9","1","INDICE",""
"2024","02","","07","Cd. Ju�rez, Chih.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","113.79","1","INDICE",""
"2024","02","","08","Acapulco, Gro.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","110.28","1","INDICE",""
"2024","02","","09","Culiac�n, Sin.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","124.35","1","INDICE",""
"2024","02","","10","Le�n, Gto.","3. Vivienda","3.1. Costo de uso de vivienda","3.1.1. Costo de uso de vivienda","41 Vivienda alquilada","138","Renta de vivienda","001","INDICE DE LA CIUDAD                                         ","111.21","1","INDICE",""
