Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2018,8,1,33.68,19.0,175.0,14.0,417.35,100.24,33.89,80.75,2018-08-01,873.91,1,3
2018,8,2,14.23,16.58,178.0,16.0,192.79,100.03,37.79,90.0,2018-08-01,645.42,2,3
2018,8,3,13.75,16.0,135.0,11.5,417.35,100.08,32.78,81.0,2018-08-01,807.46,1,3
2018,8,4,20.4,11.17,322.0,10.05,417.35,100.24,38.33,35.0,2018-08-01,954.5400000000001,1,3
2018,8,5,20.68,15.47,225.48,16.0,192.79,100.16,43.89,59.24,2018-08-01,673.7099999999999,1,3
2018,8,6,25.9,15.72,185.0,20.0,152.16,100.05,33.0,113.0,2018-08-01,644.8299999999999,2,3
2018,8,7,25.49,17.0,229.99,14.0,189.17,100.07,19.24,16.65,2018-08-01,611.61,3,3
2018,8,8,15.16,20.5,194.0,17.0,196.42,100.03,30.0,83.75,2018-08-01,656.86,1,3
2018,8,9,27.0,15.0,167.5,17.0,152.16,100.03,23.33,115.0,2018-08-01,617.02,3,3
2018,8,10,23.8,15.0,371.5,15.0,417.35,100.0,43.33,82.0,2018-08-01,1067.98,1,3
2018,8,11,17.5,18.52,264.0,13.0,417.35,100.26,24.0,75.0,2018-08-01,929.63,1,3
2018,8,12,24.7,16.8,184.0,15.0,417.35,100.04,38.33,76.0,2018-08-01,872.22,1,3
2018,8,13,7.8,16.38,170.0,14.0,342.4,100.11,24.44,57.18,2018-08-01,732.31,3,3
2018,8,14,17.15,19.4,209.5,14.0,417.35,100.0,23.33,69.0,2018-08-01,869.7300000000001,1,3
2018,8,15,15.9,15.33,176.9,15.5,192.79,100.03,26.46,78.5,2018-08-01,621.41,3,3
2018,8,16,7.3,14.33,245.0,19.0,192.79,100.08,30.0,63.75,2018-08-01,672.25,2,3
2018,8,17,14.25,18.75,274.4,16.0,189.17,100.03,23.0,72.0,2018-08-01,707.5999999999999,2,3
2018,8,18,18.25,28.71,234.0,16.5,192.79,100.0,23.33,52.0,2018-08-01,665.58,3,3
2018,8,19,25.9,17.5,260.0,16.0,189.17,100.06,21.0,99.9,2018-08-01,729.5299999999999,2,3
2018,8,20,25.65,18.0,249.0,10.35,152.16,100.03,19.9,27.9,2018-08-01,602.9899999999999,3,3
2018,8,21,20.15,17.0,189.0,19.0,189.17,100.25,22.99,114.9,2018-08-01,672.4599999999999,3,3
2018,8,22,18.65,19.7,250.0,13.0,417.35,100.01,22.42,48.0,2018-08-01,889.13,2,3
2018,8,23,16.18,12.7,399.0,16.0,417.35,100.25,16.0,58.65,2018-08-01,1036.13,1,3
2018,8,24,25.05,18.0,193.5,17.0,417.35,99.32,23.95,79.9,2018-08-01,874.07,1,3
2018,8,25,21.88,18.7,221.75,16.0,189.17,99.99,21.0,23.0,2018-08-01,611.49,3,3
2018,8,26,17.25,15.0,210.0,16.0,196.42,100.0,24.4,90.0,2018-08-01,669.0699999999999,3,3
2018,8,27,36.85,16.38,234.4,17.0,152.16,100.02,26.8,48.5,2018-08-01,632.1099999999999,3,3
