Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo
2018,8,1,33.68,19.0,175.0,14.0,417.35,100.24,5.0,30.0
2018,8,2,14.23,16.58,178.0,16.0,192.79,100.03,25.0,22.78
2018,8,3,13.75,16.0,135.0,11.5,417.35,100.08,399.0,28.67
2018,8,4,20.4,11.17,322.0,10.05,417.35,100.24,8.0,30.29
2018,8,5,20.68,15.47,225.48,16.0,192.79,100.16,299.0,38.78
2018,8,6,25.9,15.72,185.0,20.0,152.16,100.05,470.0,19.9
2018,8,7,25.49,17.0,229.99,14.0,189.17,100.07,320.0,22.15
2018,8,8,15.16,20.5,194.0,17.0,196.42,100.03,10.0,25.25
2018,8,9,27.0,15.0,167.5,17.0,152.16,100.03,479.0,37.67
2018,8,10,23.8,15.0,371.5,15.0,417.35,100.0,8.0,43.94
2018,8,11,17.5,18.52,264.0,13.0,417.35,100.26,25.0,30.08
2018,8,12,24.7,16.8,184.0,15.0,417.35,100.04,25.0,20.84
2018,8,13,7.8,16.38,170.0,14.0,342.4,100.11,349.0,27.08
2018,8,14,17.15,19.4,209.5,14.0,417.35,100.0,10.0,25.66
2018,8,15,15.9,15.33,176.9,15.5,192.79,100.03,10.0,17.55
2018,8,16,7.3,14.33,245.0,19.0,192.79,100.08,299.0,32.9
2018,8,17,14.25,18.75,274.4,16.0,189.17,100.03,349.0,22.4
2018,8,18,18.25,28.71,234.0,16.5,192.79,100.0,24.0,22.0
2018,8,19,25.9,17.5,260.0,16.0,189.17,100.06,20.0,23.33
2018,8,20,25.65,18.0,249.0,10.35,152.16,100.03,10.0,21.9
2018,8,21,20.15,17.0,189.0,19.0,189.17,100.25,15.0,19.98
2018,8,22,18.65,19.7,250.0,13.0,417.35,100.01,7.0,26.0
2018,8,23,16.18,12.7,399.0,16.0,417.35,100.25,12.0,16.5
2018,8,24,25.05,18.0,193.5,17.0,417.35,99.32,24.0,22.03
2018,8,25,21.88,18.7,221.75,16.0,189.17,99.99,24.0,19.4
2018,8,26,17.25,15.0,210.0,16.0,196.42,100.0,20.0,36.5
2018,8,27,36.85,16.38,234.4,17.0,152.16,100.02,14.0,21.28
2018,8,28,12.3,16.88,171.5,16.0,192.79,100.0,12.0,26.67
2018,8,29,28.88,19.9,160.0,18.0,417.35,100.1,15.0,20.0
2018,8,30,15.5,22.9,245.0,14.0,417.35,100.0,13.0,21.0
