"A�o","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","Divisi�n","Grupo","Clase","Subclase","Clave gen�rico","Gen�rico","Consecutivo","Especificaci�n","Precio promedio","Cantidad","Unidad","Estatus"
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR 1 HORA                            ","10","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","INTERNET, RENTA, POR 1 HR                                   ","14","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","003","CAFE INTERNET, RENTA, POR 1 HORA                            ","12","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","004","CAFE INTERNET, RENTA, POR 1 HORA                            ","24","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","005","CAFE INTERNET, RENTA, POR 1 HORA                            ","20","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","006","CAFE INTERNET, RENTA, POR 1 HORA                            ","12","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","007","CAFE INTERNET, RENTA, POR 1 HORA                            ","12","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","008","INTERNET, RENTA, DE 45 MIN A 1 HR                           ","15","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","009","CAFE INTERNET, RENTA, POR 1 HORA                            ","10","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","010","CAFE INTERNET, RENTA, POR 1 HORA                            ","12","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","011","CAFE INTERNET, RENTA, POR 1 HORA                            ","8","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","012","CAFE INTERNET, RENTA, POR 1 HORA                            ","10","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","013","CAFE INTERNET, RENTA, POR 1 HORA                            ","10","1","HORA  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","014","INTERNET, RENTA, POR 1 HORA                                 ","8","1","HORA  ","DESENCADENADO"
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","015","INTERNET, RENTA POR 1 HORA                                  ","24","1","SERV  ",""
"2024","02","","01","�rea Met. de la Cd. de M�xico","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","016","CAFE INTERNET, RENTA, POR 1 HORA                            ","10","1","HORA  ",""
"2024","02","","02","M�rida, Yuc.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, RENTA DE INTERNET POR HORA                        ","25","1","HORA  ",""
"2024","02","","03","Morelia, Mich.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","MEGACABLE, INTERNET, 250 MBPS, TV, TELEFONIA, DOMICILIADO   ","800","1","SERV  ",""
"2024","02","","04","Guadalajara, Jal.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, CAFE INTERNET, 1 HORA                             ","15","1","SERV  ",""
"2024","02","","04","Guadalajara, Jal.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","TELCEL, INTERNET, 15 MBPS                                   ","299","1","SERV  ",""
"2024","02","","04","Guadalajara, Jal.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","003","SERV DE INTERNET, RENTA 1 HORA                              ","15","1","SERV  ",""
"2024","02","","05","Monterrey, N.L.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","TELCEL, INTERNET, 75 GB, INTERNET EN TU CASA 1              ","299","1","SERV  ",""
"2024","02","","05","Monterrey, N.L.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, RENTA, POR 1 HORA                            ","40","1","HORA  ",""
"2024","02","","06","Mexicali, B.C.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","IZZI, INTERNET, VELOCIDAD 30 MG, LLAMADAS ILIMITADAS, MENSUA","480","1","SERV  ",""
"2024","02","","07","Cd. Ju�rez, Chih.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","IZZI, INTERNET, RENTA MENSUAL, VELOCIDAD 20 MB              ","370","1","SERV  ",""
"2024","02","","07","Cd. Ju�rez, Chih.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, RENTA POR 1 HORA                             ","40","1","SERV  ",""
"2024","02","","08","Acapulco, Gro.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR 1 HORA                            ","30.81","1","HORA  ",""
"2024","02","","09","Culiac�n, Sin.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","TELMEX, INTERNET, 50 MB                                     ","349","1","SERV  ",""
"2024","02","","09","Culiac�n, Sin.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, RENTA, POR HORA                              ","10","1","HORA  ",""
